"PASSWORD","W0_1","W0_2","W0_3","W0_4","W0_5","W0_6","W0_7","W0_8","W0_9","W0_10","W0_11","W0_12","W0_13","W0_14","W0_15","W0_16","W0_17","W0_18","W0_19","W0_20","W0_21","W0_22","W0_23","W0_24","W0_25","W0_26","W1_1","W1_2","W1_3","W1_4","W1_5","W1_6","W1_7","W1_8","W2_1","W2_2","W2_3","W2_4","W2_5","W2_6","W2_7","W2_8","W2_9","W2_10","W2_11","W2_12","W3_1","W3_2","W3_3","W3_4","W3_5","W3_6","W3_7","W3_8","W4_1","W4_2","W4_3","W7_1","W7_2","W7_3","W7_4","W7_5","W7_6","W7_7","W7_8","W7_9","W7_10","W8_1","W8_2","W8_3","W8_4","W8_5","W8_6","W11_1","W11_2","W11_3","W11_4","W11_5","W11_6","W11_7","W12_1","W12_2","W12_3","W12_4","W12_5","W12_6","W12_7","W12_8","W14_1","W14_2","W14_3","W14_4","W14_5","W14_6","W14_7","W14_8","W14_9","W14_10","W14_11","W14_12","W14_13","W14_14","W14_15","W14_16","W14_17","W14_18","W14_19","W14_20","W14_21","W14_22","W14_23","W14_24"
"maple8665",5,4,5,5,6,5,6,5,6,6,6,4,5,5,4,4,4,4,4,7,6,4,5,6,5,5,9,6,10,7,7,7,6,7,7,6,5,4,4,4,4,4,4,5,4,4,6,7,7,5,5,6,6,7,6,6,4,87,85,76,67,100,51,62,48,58,80,6,6,3,5,5,5,3,3,3,3,3,3,3,3,3,4,3,3,4,5,3,6,6,5,5,4,6,5,5,3,4,4,4,5,3,5,4,4,3,5,5,3,4,4,4
"otter2610",5,4,4,6,4,4,6,5,5,6,5,6,6,5,6,6,7,7,6,4,6,5,6,7,4,5,6,7,6,7,2,2,4,1,7,5,7,6,8,7,3,3,5,2,4,3,9,9,8,8,5,6,6,6,4,5,6,81,74,63,75,62,78,97,92,82,80,5,4,6,4,4,3,3,3,3,3,3,3,2,2,3,4,2,6,1,5,4,4,4,4,5,6,6,7,6,5,4,5,5,3,6,4,3,5,4,5,4,4,4,3,3
"cedar1237",6,5,5,5,5,6,5,6,6,5,6,4,5,5,6,7,6,7,5,5,5,6,6,6,5,6,7,8,7,8,5,5,6,5,7,8,7,5,4,7,6,6,4,4,3,3,8,8,8,8,7,7,6,7,4,4,5,100,80,86,89,100,64,49,54,62,47,6,3,5,5,6,5,3,2,2,3,4,4,4,2,2,5,1,5,2,5,5,4,4,5,4,5,5,6,4,3,2,2,1,4,4,3,3,5,4,3,4,3,3,3,3
"harbor6758",5,4,5,3,6,5,5,5,4,5,5,6,5,5,4,5,3,5,5,6,6,6,4,6,5,6,9,9,8,8,5,5,6,6,8,9,8,6,6,5,5,6,5,4,6,4,5,3,6,6,7,6,6,6,4,4,2,59,66,54,40,54,66,75,72,76,74,3,5,6,5,5,5,3,2,3,3,3,3,3,1,1,6,2,5,2,5,6,4,4,7,6,4,5,5,6,4,5,4,5,5,6,6,6,3,4,3,3,3,2,2,1
"willow4288",5,4,4,5,5,5,6,6,6,6,6,6,5,4,6,6,5,6,7,6,6,5,6,5,6,4,10,9,9,9,5,6,5,6,9,8,8,7,5,9,6,7,7,4,5,5,6,8,8,8,3,5,3,5,4,3,4,96,74,86,92,72,46,54,37,57,40,4,4,6,5,4,3,2,3,3,2,3,2,3,1,3,5,1,5,3,5,5,6,6,6,5,7,7,5,6,5,5,5,5,4,5,4,5,4,3,5,5,3,4,3,5
"cobalt5204",5,6,6,5,7,7,6,7,7,6,7,7,7,6,4,5,4,4,5,5,6,5,5,5,5,5,6,6,8,8,1,3,3,4,7,8,7,6,7,6,6,5,6,5,2,4,7,5,7,6,4,5,4,4,6,6,5,73,77,57,77,66,41,57,59,51,65,6,5,6,5,5,4,3,3,2,3,2,2,2,2,4,4,4,4,3,4,3,6,7,6,7,2,3,2,4,5,4,6,6,4,5,4,4,5,4,5,4,2,3,2,1
"ember1718",5,5,5,5,4,6,5,7,6,6,5,5,5,5,5,6,6,6,6,5,4,3,4,4,5,4,8,8,6,8,7,7,7,7,7,7,8,8,7,7,7,8,7,2,3,5,7,5,7,7,6,4,7,6,5,5,5,69,89,73,82,100,65,81,69,86,74,5,5,6,2,3,3,3,3,3,3,4,4,3,4,1,5,2,5,3,6,5,6,5,6,6,4,4,3,4,4,4,5,4,6,5,6,5,3,2,4,3,2,3,3,3
"quartz4334",5,4,3,5,3,3,5,4,4,4,4,7,6,6,4,4,5,4,5,4,5,5,4,5,4,6,7,5,8,8,5,6,4,6,8,7,9,6,6,7,6,9,6,6,5,5,7,9,9,8,6,7,5,6,4,5,5,64,58,79,78,79,64,60,56,65,72,4,4,5,5,3,4,3,3,3,3,3,4,3,4,5,2,4,3,5,3,4,5,5,5,5,4,4,5,3,4,5,4,4,7,7,6,7,2,1,2,2,4,3,3,4
"pine6790",5,4,4,4,6,6,2,2,2,3,2,5,6,7,5,6,7,6,5,5,5,5,5,5,5,5,4,5,4,8,4,4,4,3,6,6,6,7,8,8,6,6,5,6,5,6,8,9,8,7,7,7,6,6,5,4,4,88,66,78,77,84,84,71,92,68,77,3,3,4,4,6,4,3,3,3,3,4,3,3,3,4,5,2,5,5,4,3,5,4,5,4,4,5,4,5,4,5,4,4,5,5,5,6,4,3,3,5,5,4,3,4
"delta4193",6,6,5,6,5,5,5,6,4,6,5,5,4,5,7,6,7,7,6,5,5,4,3,3,4,4,8,8,10,7,6,7,5,7,7,5,6,6,6,6,7,7,6,8,7,7,4,4,4,4,5,6,6,5,7,7,7,63,58,66,74,52,58,88,65,73,73,6,4,3,3,5,5,3,3,3,3,4,4,3,4,5,2,4,3,4,2,3,5,6,4,4,4,5,4,3,5,6,4,6,4,6,6,5,2,3,3,3,3,3,3,3
